basin,dT_used,total_model_bmb_Gtyr,Mtarget_Gtyr,obs_uncert_Gtyr,M_diff_Gtyr,slope_Gtyr_degC,in_obs_range,dT_new
0,-0.173738,110.642149,54.635723,51.753150,-56.006427,187.906605,0,-0.471793
1,0.385370,7.942633,11.811157,13.336401,3.868524,11.162262,1,0.731942
2,-0.015008,27.149784,23.980520,51.950863,-3.169263,91.752014,1,-0.049550
3,0.297304,37.817557,61.059492,34.614514,23.241934,61.569425,1,0.674795
4,-0.257734,101.590429,89.497033,9.170013,-12.093396,84.802483,0,-0.400341
5,0.041356,21.280621,22.336540,5.928376,1.055918,26.801607,1,0.080754
6,0.097556,11.406046,12.945749,5.587153,1.539703,12.991538,1,0.216072
7,-0.040447,139.209741,67.917609,118.973747,-71.292132,682.536884,1,-0.144899
8,0.239901,120.974460,141.577595,26.281625,20.603135,123.934457,1,0.406143
9,0.603994,214.585638,243.880357,102.960816,29.294719,140.717067,1,0.812176
10,0.143593,57.801216,67.441453,21.302609,9.640236,70.080807,1,0.281152
11,-0.311698,162.653045,124.265284,49.665902,-38.387761,179.809813,1,-0.525189
12,-0.074162,48.873577,36.299747,57.085504,-12.573829,119.525823,1,-0.179360
13,0.061702,10.388872,13.232586,19.585377,2.843714,24.525100,1,0.177653
14,-0.022566,97.603414,63.910184,76.899520,-33.693230,524.697014,1,-0.086781
15,0.063549,17.618060,32.594798,31.813951,14.976738,73.318051,1,0.267820
