Var1,region,min,mean,max,model_region,issm,in_range,tot_smb,p_calc_corr
0,West,-107.121378991998,-96.7867203669702,-84.8562447626626,WAIS,-97.0647096193347,1,22337.573464062,0.000334975688153846
1,East,-5.29731638551204,11.7015788676877,31.4743113030462,EAIS,11.4595777141104,1,36979.5113128895,0.000176147930368146
2,Peninsula,-19.7168040419474,-13.8393751472081,-7.53248601505814,Peninsula,-12.210918082422,1,9469.53560256614,-0.00462880523749737
