basin,dT_used,total_model_bmb_Gtyr,Mtarget_Gtyr,obs_uncert_Gtyr,M_diff_Gtyr,slope_Gtyr_degC,in_obs_range,dT_new
0,-0.654499,57.713086,54.635723,51.753150,-3.077363,130.749751,1,-0.678035
1,0.649419,11.956133,11.811157,13.336401,-0.144977,12.803908,1,0.638096
2,-0.051421,23.985890,23.980520,51.950863,-0.005370,88.308430,1,-0.051482
3,0.576613,62.353148,61.059492,34.614514,-1.293656,74.296673,1,0.559201
4,-0.415943,89.508975,89.497033,9.170013,-0.011942,81.592760,1,-0.416089
5,0.079293,22.336607,22.336540,5.928376,-0.000068,27.296148,1,0.079291
6,0.204591,12.948199,12.945749,5.587153,-0.002450,13.732547,1,0.204413
7,-0.172525,68.745361,67.917609,118.973747,-0.827752,568.444857,1,-0.173981
8,0.384741,141.644189,141.577595,26.281625,-0.066594,131.001710,1,0.384233
9,0.779876,244.073646,243.880357,102.960816,-0.193289,146.792916,1,0.778559
10,0.264895,67.464206,67.441453,21.302609,-0.022753,74.467629,1,0.264589
11,-0.566983,124.456212,124.265284,49.665902,-0.190928,166.218726,1,-0.568132
12,-0.195159,36.329613,36.299747,57.085504,-0.029865,109.696392,1,-0.195431
13,0.162476,13.244095,13.232586,19.585377,-0.011509,26.886869,1,0.162048
14,-0.096689,64.002026,63.910184,76.899520,-0.091842,469.977982,1,-0.096884
15,0.218360,33.082662,32.594798,31.813951,-0.487864,92.159239,1,0.213066
