basin,dT_used,total_model_bmb_Gtyr,Mtarget_Gtyr,obs_uncert_Gtyr,M_diff_Gtyr,slope_Gtyr_degC,in_obs_range,dT_new
0,-0.678035,55.903127,54.635723,51.753150,-1.267405,128.880573,1,-0.687869
1,0.638096,11.766234,11.811157,13.336401,0.044922,12.733511,1,0.641624
2,-0.051482,23.978630,23.980520,51.950863,0.001890,88.344816,1,-0.051461
3,0.559201,60.615457,61.059492,34.614514,0.444035,73.502616,1,0.565242
4,-0.416089,89.498273,89.497033,9.170013,-0.001240,81.589850,1,-0.416104
5,0.079291,22.336551,22.336540,5.928376,-0.000011,27.296122,1,0.079291
6,0.204413,12.945345,12.945749,5.587153,0.000404,13.730540,1,0.204442
7,-0.173981,68.136526,67.917609,118.973747,-0.218917,567.187131,1,-0.174367
8,0.384233,141.568116,141.577595,26.281625,0.009479,130.976923,1,0.384305
9,0.778559,243.844975,243.880357,102.960816,0.035383,146.747518,1,0.778800
10,0.264589,67.438490,67.441453,21.302609,0.002962,74.456563,1,0.264629
11,-0.568132,124.299876,124.265284,49.665902,-0.034592,166.157738,1,-0.568340
12,-0.195431,36.303741,36.299747,57.085504,-0.003994,109.676101,1,-0.195467
13,0.162048,13.230720,13.232586,19.585377,0.001867,26.875343,1,0.162117
14,-0.096884,63.924327,63.910184,76.899520,-0.014142,469.834031,1,-0.096914
15,0.213066,32.457492,32.594798,31.813951,0.137306,91.514935,1,0.214566
