Var1,region,min,mean,max,model_region,issm,in_range,tot_smb,p_calc_corr
0,West,-107.121378991998,-96.7867203669702,-84.8562447626626,WAIS,-166.085826826378,0,21601.6488421507,0.0863499338636604
1,East,-5.29731638551204,11.7015788676877,31.4743113030462,EAIS,35.6293207457653,0,37072.0521280571,-0.0173730617877184
2,Peninsula,-19.7168040419474,-13.8393751472081,-7.53248601505814,Peninsula,48.9138693598181,0,10297.7134361112,-0.22
