basin,dT_used,total_model_bmb_Gtyr,Mtarget_Gtyr,obs_uncert_Gtyr,M_diff_Gtyr,slope_Gtyr_degC,in_obs_range,dT_new
0,-0.471793,73.449343,54.635723,51.753150,-18.813621,148.029588,1,-0.598887
1,0.731942,13.388282,11.811157,13.336401,-1.577125,13.316971,1,0.613512
2,-0.049550,24.156102,23.980520,51.950863,-0.175582,88.207788,1,-0.051541
3,0.674795,72.669073,61.059492,34.614514,-11.609581,78.774076,1,0.527417
4,-0.400341,90.657262,89.497033,9.170013,-1.160229,81.904301,1,-0.414507
5,0.080754,22.378025,22.336540,5.928376,-0.041485,27.315193,1,0.079235
6,0.216072,13.128701,12.945749,5.587153,-0.182952,13.838243,1,0.202851
7,-0.144899,80.991352,67.917609,118.973747,-13.073743,592.308834,1,-0.166972
8,0.406143,144.872014,141.577595,26.281625,-3.294419,132.045989,1,0.381194
9,0.812176,249.720527,243.880357,102.960816,-5.840170,147.907785,1,0.772691
10,0.281152,68.840122,67.441453,21.302609,-1.398670,75.055555,1,0.262517
11,-0.525189,130.236983,124.265284,49.665902,-5.971699,168.439211,1,-0.560642
12,-0.179360,37.847805,36.299747,57.085504,-1.548057,110.894550,1,-0.193320
13,0.177653,13.725799,13.232586,19.585377,-0.493213,27.301397,1,0.159588
14,-0.086781,68.023828,63.910184,76.899520,-4.113644,477.292251,1,-0.095400
15,0.267820,39.253001,32.594798,31.813951,-6.658203,98.178741,1,0.200003
