,region,min,mean,max
0,West,-107.12137899199833,-96.78672036697024,-84.85624476266261
1,East,-5.297316385512043,11.701578867687736,31.47431130304624
2,Peninsula,-19.71680404194744,-13.83937514720807,-7.532486015058144
