basin,dT_used,total_model_bmb_Gtyr,Mtarget_Gtyr,obs_uncert_Gtyr,M_diff_Gtyr,slope_Gtyr_degC,in_obs_range,dT_new
0,-0.687869,55.159374,54.635723,51.753150,-0.523652,128.119297,1,-0.691956
1,0.641624,11.825232,11.811157,13.336401,-0.014075,12.755445,1,0.640521
2,-0.051461,23.981130,23.980520,51.950863,-0.000610,88.332282,1,-0.051468
3,0.565242,61.215209,61.059492,34.614514,-0.155717,73.778112,1,0.563131
4,-0.416104,89.497173,89.497033,9.170013,-0.000140,81.589551,1,-0.416106
5,0.079291,22.336551,22.336540,5.928376,-0.000011,27.296122,1,0.079291
6,0.204442,12.945762,12.945749,5.587153,-0.000013,13.730632,1,0.204441
7,-0.174367,67.975732,67.917609,118.973747,-0.058123,566.853695,1,-0.174470
8,0.384305,141.578896,141.577595,26.281625,-0.001301,130.980436,1,0.384295
9,0.778800,243.886809,243.880357,102.960816,-0.006451,146.755823,1,0.778756
10,0.264629,67.441852,67.441453,21.302609,-0.000399,74.458009,1,0.264624
11,-0.568340,124.271590,124.265284,49.665902,-0.006306,166.146697,1,-0.568378
12,-0.195467,36.300385,36.299747,57.085504,-0.000637,109.673072,1,-0.195473
13,0.162117,13.232851,13.232586,19.585377,-0.000265,26.877050,1,0.162107
14,-0.096914,63.912378,63.910184,76.899520,-0.002194,469.811885,1,-0.096919
15,0.214566,32.633935,32.594798,31.813951,-0.039137,91.697492,1,0.214139
