basin,dT_used,total_model_bmb_Gtyr,Mtarget_Gtyr,obs_uncert_Gtyr,M_diff_Gtyr,slope_Gtyr_degC,in_obs_range,dT_new
0,-0.598887,62.168420,54.635723,51.753150,-7.532697,135.451675,1,-0.654499
1,0.613512,11.359422,11.811157,13.336401,0.451734,12.580667,1,0.649419
2,-0.051541,23.969878,23.980520,51.950863,0.010642,88.413493,1,-0.051421
3,0.527417,57.514745,61.059492,34.614514,3.544747,72.053088,1,0.576613
4,-0.414507,89.614277,89.497033,9.170013,-0.117244,81.621384,1,-0.415943
5,0.079235,22.334964,22.336540,5.928376,0.001575,27.295392,1,0.079293
6,0.202851,12.921879,12.945749,5.587153,0.023871,13.720586,1,0.204591
7,-0.166972,71.101002,67.917609,118.973747,-3.183394,573.241667,1,-0.172525
8,0.381194,141.113552,141.577595,26.281625,0.464043,130.828639,1,0.384741
9,0.772691,242.827472,243.880357,102.960816,1.052885,146.545124,1,0.779876
10,0.262517,67.264545,67.441453,21.302609,0.176907,74.381630,1,0.264895
11,-0.560642,125.321477,124.265284,49.665902,-1.056193,166.555354,1,-0.566983
12,-0.193320,36.501766,36.299747,57.085504,-0.202019,109.849394,1,-0.195159
13,0.159588,13.155139,13.232586,19.585377,0.077447,26.816020,1,0.162476
14,-0.095400,64.517049,63.910184,76.899520,-0.606865,470.929540,1,-0.096689
15,0.200003,30.944063,32.594798,31.813951,1.650735,89.925110,1,0.218360
